A=3298 B=7840 C=5684 X=808651817 Y=1042650206 Z=91966941978 M=125
A=7007 B=3679 C=9220 X=204364080 Y=5754816419 Z=97327347781 M=175
A=7185 B=3102 C=9686 X=616133923 Y=1995948733 Z=31749603021 M=113
A=9654 B=6975 C=6474 X=341647889 Y=9647225497 Z=82297851688 M=163
A=3607 B=3465 C=7739 X=659315960 Y=2548502988 Z=21519702722 M=165
A=6805 B=5207 C=9189 X=441230599 Y=2424341064 Z=42035109854 M=189
A=2801 B=7607 C=6634 X=721005373 Y=4760852059 Z=66879476876 M=51
A=9121 B=8211 C=9965 X=402330025 Y=1290100005 Z=43720543268 M=124
A=2618 B=6123 C=7492 X=470790270 Y=3695165597 Z=38683178685 M=119
A=6272 B=5395 C=6050 X=567515268 Y=5304216681 Z=73731386709 M=190
A=7115 B=5137 C=9712 X=506396814 Y=8514149358 Z=65958287499 M=134
A=7900 B=4452 C=8393 X=861094075 Y=5801834204 Z=66422618858 M=72
A=4386 B=4471 C=5283 X=475837332 Y=9969527845 Z=61628354501 M=166
A=3692 B=3749 C=7316 X=688455194 Y=4407733929 Z=97683645752 M=172
A=8930 B=4977 C=9048 X=733938303 Y=1199694240 Z=21777338176 M=136
A=4204 B=8704 C=7589 X=225082091 Y=8347165288 Z=16390227869 M=132
A=9405 B=5630 C=8589 X=571583640 Y=6391373289 Z=32416637334 M=191
A=7714 B=4678 C=8212 X=379357899 Y=8686941971 Z=27262514349 M=168
A=6890 B=7340 C=5502 X=476000425 Y=1293709588 Z=86577647477 M=80
A=4826 B=6803 C=6867 X=725181813 Y=6052216989 Z=30380337920 M=51
A=9887 B=9680 C=8574 X=458053847 Y=2522293089 Z=45152063461 M=184
A=2976 B=3944 C=5007 X=993496551 Y=1307077129 Z=13164293202 M=76
A=5342 B=4955 C=7444 X=456617445 Y=3942804641 Z=42129774338 M=84
A=5865 B=4051 C=8095 X=441293599 Y=3665099530 Z=69086225223 M=97
A=2883 B=5561 C=6097 X=117587959 Y=1962664180 Z=75900064030 M=196
A=2866 B=5885 C=6901 X=965161539 Y=6666950000 Z=36430237315 M=139
A=5710 B=5939 C=6858 X=180586158 Y=6444424484 Z=63070549573 M=147
A=5237 B=7756 C=7728 X=196729985 Y=2328753986 Z=64924460710 M=64
A=8759 B=8380 C=5692 X=378662036 Y=7328750136 Z=48503867758 M=58
A=9415 B=3794 C=8615 X=964450220 Y=8626511115 Z=51324069050 M=139
A=5767 B=7561 C=8627 X=489327495 Y=8061230462 Z=26167976497 M=157
A=2824 B=4121 C=5843 X=499656006 Y=6142906172 Z=23153294409 M=98
A=4886 B=3314 C=5797 X=716297005 Y=8998983310 Z=67129324829 M=187
A=3103 B=6810 C=8196 X=234490232 Y=9584081145 Z=59742574544 M=113
A=2384 B=5625 C=6385 X=960610343 Y=9220626239 Z=65681140037 M=167
A=8490 B=4662 C=7123 X=786257117 Y=7244283900 Z=68260124951 M=116
A=9932 B=9494 C=8869 X=891630925 Y=2781123105 Z=96630193952 M=161
A=3015 B=8904 C=7339 X=927286334 Y=3758431431 Z=47727668012 M=73
A=7269 B=3351 C=7106 X=830145383 Y=4036891370 Z=82570681038 M=153
A=3201 B=4667 C=9341 X=206648376 Y=4270551935 Z=20744954874 M=161
A=2287 B=4435 C=9070 X=536306205 Y=7551284730 Z=54862331087 M=50
A=8866 B=7024 C=9158 X=816823916 Y=2752439623 Z=27466913791 M=173
A=5014 B=5919 C=9339 X=875180152 Y=4359000623 Z=44609876384 M=167
A=5416 B=9605 C=7445 X=661863817 Y=6431383442 Z=19469312418 M=80
A=3798 B=4029 C=9128 X=336204933 Y=8607324021 Z=57911532793 M=90
A=4106 B=3190 C=7458 X=746648540 Y=4593391408 Z=21418586326 M=81
A=4453 B=4111 C=5621 X=957601837 Y=9136127825 Z=86180101968 M=160
A=8847 B=3270 C=8295 X=556610443 Y=4260950761 Z=69363421275 M=69
A=5770 B=5072 C=8158 X=559573203 Y=3783497547 Z=74239695585 M=67
A=2008 B=9099 C=6049 X=573789585 Y=9514051596 Z=16624503487 M=142
A=7091 B=9737 C=7108 X=610194976 Y=8089128252 Z=50264977431 M=159
A=7687 B=5905 C=5075 X=955600442 Y=9494295437 Z=40318593894 M=108
A=2395 B=6223 C=8345 X=834627604 Y=3252718259 Z=52908263062 M=152
A=9307 B=7597 C=5084 X=767971279 Y=5720116724 Z=54596319830 M=156
A=4505 B=7103 C=9273 X=542200382 Y=7145108235 Z=19840513457 M=187
A=2310 B=8982 C=9716 X=717233783 Y=8152018174 Z=77051828299 M=178
A=9414 B=6160 C=7756 X=249338291 Y=7150475895 Z=41282378737 M=158
A=2645 B=5073 C=9111 X=256192537 Y=1036343461 Z=83102268799 M=52
A=2021 B=3847 C=8070 X=490851488 Y=7662560090 Z=17182231622 M=71
A=4122 B=6512 C=5959 X=350569775 Y=6379002275 Z=44682789165 M=193
A=7888 B=8462 C=8712 X=621328376 Y=9850048069 Z=65496173516 M=186
A=8496 B=3861 C=9935 X=201199361 Y=5256434983 Z=45072039162 M=51
A=4651 B=8247 C=7398 X=412774654 Y=5811067378 Z=57078286277 M=93
A=9788 B=9956 C=8948 X=602859102 Y=8790489932 Z=69291600757 M=143
A=2636 B=9000 C=9216 X=197033336 Y=8448587542 Z=53201434437 M=182
A=5353 B=8313 C=6675 X=309502635 Y=3748555799 Z=82468578344 M=93
