A=5307 B=3452 C=7342 X=402770303 Y=7229364850 Z=97035273079 M=7931
A=3563 B=9171 C=5584 X=351677810 Y=9043768049 Z=53112631924 M=7164
A=5911 B=8265 C=9991 X=253797981 Y=3771428283 Z=43342491635 M=3010
A=8541 B=7430 C=7844 X=118655860 Y=3318744465 Z=19440461122 M=7725
A=5304 B=4776 C=9043 X=808534517 Y=6170555438 Z=25968600637 M=2793
A=9107 B=4253 C=7584 X=676423932 Y=3632045325 Z=11214645648 M=7509
A=2396 B=9311 C=8241 X=149742644 Y=5387698377 Z=27454799482 M=1321
A=2135 B=6444 C=5738 X=597887219 Y=6808179750 Z=77453767855 M=7882
A=6523 B=9844 C=8594 X=314023836 Y=5126993071 Z=10739553123 M=6701
A=9301 B=3515 C=8878 X=838360198 Y=1484093435 Z=99924167693 M=9733
A=6612 B=9144 C=5212 X=842307162 Y=4354823797 Z=48799605410 M=6246
A=3599 B=5221 C=9710 X=452324890 Y=7619470873 Z=70787216225 M=6244
A=8982 B=9080 C=5029 X=802002655 Y=6081869166 Z=93775684928 M=4830
A=8091 B=8947 C=5222 X=377351692 Y=8470833260 Z=35787346137 M=9872
A=8145 B=4822 C=9849 X=100546748 Y=7612149509 Z=97398400044 M=8296
A=9420 B=6020 C=8725 X=873234792 Y=4304836085 Z=32345743819 M=4762
A=7070 B=6182 C=5638 X=915118469 Y=6662026404 Z=97723899062 M=8158
A=7643 B=9316 C=5015 X=417349379 Y=3485854989 Z=42895777109 M=5247
A=9071 B=6898 C=7445 X=726731096 Y=1396766677 Z=36667334304 M=3147
A=8350 B=6044 C=7630 X=290617663 Y=4370762883 Z=36672970831 M=8493
A=4499 B=6364 C=5124 X=259967838 Y=7146474904 Z=44750878467 M=7070
A=9818 B=8133 C=9610 X=826582072 Y=2606568373 Z=86814047790 M=3709
A=2575 B=9501 C=5083 X=751861008 Y=9618776183 Z=76256523081 M=3270
A=4164 B=5693 C=5233 X=628074458 Y=2127916036 Z=86621803543 M=2271
A=3519 B=6099 C=6083 X=572673675 Y=7815227571 Z=72930844960 M=7050
A=4654 B=4250 C=6782 X=366745459 Y=7783290418 Z=52825694024 M=6763
A=2410 B=8686 C=9836 X=316212862 Y=6167286170 Z=99801521161 M=5842
A=8167 B=6993 C=6108 X=385236903 Y=9634073346 Z=26561859088 M=9422
A=3351 B=6942 C=7464 X=960447684 Y=1453848883 Z=29011198018 M=5736
A=8288 B=7130 C=9794 X=996848758 Y=2949044055 Z=61480235373 M=9274
A=6169 B=8162 C=7626 X=507831994 Y=8980067965 Z=57807328516 M=3746
A=9591 B=9708 C=5986 X=838709012 Y=1991685564 Z=89341626447 M=9685
A=4643 B=7515 C=8198 X=317399116 Y=4214340000 Z=39365971970 M=6970
A=3367 B=4014 C=6803 X=964729130 Y=4451523423 Z=86508107223 M=8212
A=3673 B=5463 C=9580 X=908529875 Y=4648355847 Z=25337060062 M=5566
A=6572 B=4872 C=5173 X=384326916 Y=4094772559 Z=76270290027 M=1160
A=5611 B=8501 C=9752 X=344470066 Y=7886690299 Z=48332051394 M=9197
A=4075 B=3554 C=6876 X=738258581 Y=1746272541 Z=94713619636 M=6556
A=4987 B=3576 C=5185 X=831639837 Y=2066724923 Z=36195174147 M=3586
A=9786 B=5514 C=7713 X=952099532 Y=8904626413 Z=97703035751 M=1383
A=8910 B=8408 C=5257 X=196696673 Y=9952336515 Z=99376101421 M=7319
A=4213 B=3830 C=9804 X=377610701 Y=7811334607 Z=10780059780 M=3774
A=8632 B=4602 C=9732 X=459116408 Y=3710814491 Z=19309175195 M=6013
A=5717 B=6947 C=6558 X=578446533 Y=1446102106 Z=79220320991 M=8071
A=4392 B=7449 C=5697 X=590090655 Y=9092010139 Z=32842537817 M=1725
A=6466 B=7592 C=9285 X=408711781 Y=8844555045 Z=54190558919 M=1466
A=4769 B=3327 C=7384 X=385762359 Y=4126119154 Z=88050933247 M=8861
A=8132 B=7911 C=7558 X=621556417 Y=5957842698 Z=13910225578 M=2317
A=8143 B=7533 C=6988 X=713893702 Y=4191165481 Z=56843600247 M=9768
A=7624 B=5883 C=6791 X=686304883 Y=6274037690 Z=68827156601 M=5183
A=7859 B=8895 C=8501 X=322677977 Y=3564409136 Z=11955830407 M=4539
A=4952 B=4799 C=8465 X=697232161 Y=8163735843 Z=27561732804 M=9812
A=9967 B=6750 C=7855 X=844490553 Y=6499343439 Z=55154595668 M=9502
A=4447 B=8498 C=9663 X=690855875 Y=4776474717 Z=34843874089 M=7087
A=2744 B=7208 C=7251 X=221830710 Y=3909716501 Z=31376150378 M=8012
A=9165 B=3763 C=7448 X=473961428 Y=8821208537 Z=29650104642 M=7847
A=4754 B=4934 C=6685 X=459622251 Y=6640545595 Z=32867836567 M=1265
A=2071 B=4190 C=9469 X=933357992 Y=1495810567 Z=14608879833 M=6230
A=5115 B=7104 C=6291 X=304856495 Y=1322671492 Z=83593566348 M=6313
A=7383 B=8340 C=7280 X=603749465 Y=6456492922 Z=82555359375 M=5041
A=5542 B=9607 C=5784 X=354058088 Y=6491960038 Z=29964164201 M=4996
A=9403 B=9850 C=9316 X=686618221 Y=6850470556 Z=10005250098 M=5801
A=2977 B=8330 C=8961 X=252904394 Y=2143517691 Z=11824359333 M=2480
A=2846 B=5456 C=6857 X=409530409 Y=8628371572 Z=96017334678 M=6019
A=5607 B=9554 C=6346 X=689461916 Y=7556559906 Z=79970748730 M=4384
A=5423 B=3539 C=8289 X=444424489 Y=6889510261 Z=51774361708 M=9463
A=2293 B=5299 C=7325 X=263444356 Y=3632371248 Z=90560767477 M=3837
A=5140 B=7309 C=7766 X=678468895 Y=7092810326 Z=64935275675 M=1489
A=3793 B=7665 C=5838 X=293767298 Y=2342714226 Z=98230820593 M=3845
A=5345 B=4636 C=8616 X=352202717 Y=5111915990 Z=95636822429 M=4968
A=2725 B=4993 C=7588 X=567559306 Y=1565363781 Z=56850913356 M=2384
A=8258 B=9678 C=5867 X=271894515 Y=2976752472 Z=46820291613 M=7527
A=2089 B=6251 C=5184 X=399751073 Y=9176642316 Z=85899643572 M=1144
A=2096 B=4516 C=9612 X=239864417 Y=9507004234 Z=34508843932 M=3255
A=2211 B=3613 C=5159 X=127217513 Y=1056751992 Z=76803911354 M=7201
A=4932 B=9688 C=5582 X=433702393 Y=7258211509 Z=92003714286 M=8853
A=3271 B=9212 C=9166 X=717899674 Y=4042612151 Z=66673298759 M=7432
A=6887 B=4949 C=7346 X=974941723 Y=3644587172 Z=90388735648 M=9285
A=8946 B=9013 C=8329 X=196772574 Y=4396569053 Z=86317506540 M=5686
A=7974 B=7569 C=5208 X=163916918 Y=4130235037 Z=61565922836 M=4839
A=4347 B=8719 C=6076 X=197856242 Y=3678169386 Z=54290849367 M=9377
A=5745 B=8610 C=8523 X=259767653 Y=1778474513 Z=53547475156 M=8456
A=7687 B=8759 C=6308 X=343391899 Y=3220765410 Z=77342080477 M=8906
A=2384 B=6839 C=9296 X=647607292 Y=6110116458 Z=48903348371 M=5799
A=9336 B=7310 C=5562 X=673629315 Y=6598314023 Z=66730493977 M=1399
A=7795 B=6198 C=5009 X=693702451 Y=9605386795 Z=41479762584 M=5152
A=7629 B=9738 C=8886 X=920999931 Y=4833981524 Z=68138386161 M=3064
A=4395 B=8793 C=5444 X=250171731 Y=3907513865 Z=60129291157 M=4641
A=3129 B=5088 C=7808 X=424443591 Y=1694575171 Z=20250956409 M=8768
A=4866 B=9876 C=9669 X=221298741 Y=1327289827 Z=87357760216 M=8066
A=6248 B=5845 C=7938 X=753420619 Y=5594900106 Z=90228646796 M=5729
A=2851 B=6892 C=6486 X=896032144 Y=9780915862 Z=99245775139 M=6190
A=3640 B=3905 C=8200 X=616084605 Y=9205390805 Z=88000799461 M=7087
A=2742 B=7176 C=8731 X=910043293 Y=3321322210 Z=54767943745 M=8970
A=7198 B=4217 C=8884 X=767387313 Y=9317833312 Z=18561484869 M=7804
A=7098 B=8958 C=5463 X=156456531 Y=4391109466 Z=21839422536 M=9000
A=4572 B=5757 C=7832 X=160173182 Y=3984451837 Z=86020309102 M=2992
A=8198 B=7407 C=7052 X=622461596 Y=1851923396 Z=77326180290 M=8845
A=9201 B=8620 C=8168 X=509362627 Y=2265154186 Z=58065504386 M=8977
A=4259 B=9157 C=8537 X=467905463 Y=6485001257 Z=21217061936 M=9497
A=3143 B=9478 C=8967 X=417974135 Y=6947234929 Z=67340304867 M=1864
A=9348 B=9894 C=5145 X=295949600 Y=1458345123 Z=27319613891 M=2187
A=9859 B=6185 C=6324 X=968448843 Y=8035234814 Z=76099852123 M=7351
A=3105 B=8026 C=7666 X=730248659 Y=3038112881 Z=74717950666 M=3363
A=9981 B=7572 C=9676 X=551561350 Y=1720587391 Z=86653997254 M=5962
A=8666 B=6221 C=5229 X=975813625 Y=8681393677 Z=78046897408 M=9652
A=4359 B=9860 C=6761 X=943776242 Y=1543815119 Z=83649800008 M=4835
A=7926 B=9980 C=9806 X=300930949 Y=3952445146 Z=47683750349 M=9685
A=5722 B=6761 C=9550 X=437567474 Y=9734963847 Z=51684891310 M=2668
A=3589 B=7811 C=6443 X=990923274 Y=2977696184 Z=98980941925 M=3072
A=6327 B=6723 C=6075 X=380610362 Y=3730891562 Z=56789760192 M=1058
A=7826 B=4073 C=8783 X=243195216 Y=3401607161 Z=26388349852 M=5427
A=4232 B=9117 C=9471 X=651431311 Y=2470950536 Z=22648471441 M=4903
A=5559 B=5066 C=9665 X=882297215 Y=3995995018 Z=77913101776 M=1598
A=8637 B=5099 C=6447 X=309564495 Y=1725541748 Z=72755737063 M=8149
A=4875 B=6619 C=7927 X=555479511 Y=9926146840 Z=74197282994 M=3498
A=3578 B=7508 C=9139 X=390941976 Y=3111305212 Z=28499821818 M=3341
A=8604 B=8794 C=7767 X=603960081 Y=2737084059 Z=60240513057 M=3874
A=7935 B=4900 C=8276 X=534407314 Y=1791646999 Z=70714146930 M=8146
A=3970 B=4285 C=9994 X=541166387 Y=2299411341 Z=24054107426 M=6253
A=8527 B=8304 C=7205 X=874667893 Y=7370931155 Z=32810994264 M=2258
A=4036 B=8515 C=6896 X=907976771 Y=4291220375 Z=60060780547 M=2092
A=9033 B=7893 C=6469 X=830646231 Y=2354519189 Z=24853425893 M=1030
A=5009 B=8303 C=7260 X=255988557 Y=6398903188 Z=53345177221 M=8622
A=5186 B=6061 C=8546 X=304802761 Y=1344688714 Z=91457714803 M=2003
A=3368 B=7741 C=5526 X=478513152 Y=2820783913 Z=37259797655 M=3653
A=9765 B=5084 C=8474 X=469789061 Y=6458124465 Z=98892877812 M=4082
A=6935 B=3045 C=6905 X=833249039 Y=2068254223 Z=85876434282 M=1158
A=8625 B=9829 C=9022 X=813649233 Y=3348192971 Z=60044600479 M=2564
A=8114 B=7556 C=8303 X=273649080 Y=3087534880 Z=43389715429 M=3534
A=5899 B=5500 C=8204 X=211935276 Y=2769601533 Z=79994960376 M=8796
A=2941 B=9515 C=7260 X=409999975 Y=3590277728 Z=33251305605 M=6842
A=7185 B=4007 C=7879 X=211092049 Y=1187175805 Z=55925885181 M=7724
A=8267 B=5638 C=6853 X=102033912 Y=6914760105 Z=77867232808 M=6462
A=2883 B=8089 C=5165 X=714373430 Y=2924691939 Z=26037033062 M=5344
A=4389 B=3121 C=8709 X=814693685 Y=4130187717 Z=21780086065 M=2071
A=3875 B=9532 C=6467 X=928007451 Y=7484633939 Z=80513148390 M=1088
A=7169 B=8095 C=5538 X=874624347 Y=1709911135 Z=32369279612 M=2278
A=2034 B=5422 C=9969 X=746895373 Y=7782731285 Z=54849306654 M=1542
A=3730 B=8980 C=9320 X=134903965 Y=7384827997 Z=92137443024 M=4906
A=7938 B=4309 C=5814 X=484690925 Y=2212786509 Z=82155459028 M=1952
A=6859 B=3834 C=9278 X=860453636 Y=3072297745 Z=71654073375 M=4370
A=4739 B=5955 C=5799 X=410526062 Y=2260217029 Z=79558054930 M=4469
A=8304 B=6333 C=7683 X=201933164 Y=1980595901 Z=77616490438 M=2776
A=6559 B=4187 C=8281 X=141104641 Y=2057234481 Z=73656596778 M=8936
A=4027 B=9806 C=9913 X=493664016 Y=4344584597 Z=16192076933 M=5022
A=6423 B=5175 C=9188 X=157548443 Y=5699998878 Z=82469952822 M=6381
A=4668 B=9564 C=8555 X=847871980 Y=3911398623 Z=15125803400 M=5214
A=9249 B=3648 C=8217 X=348134433 Y=6630033360 Z=27518611998 M=5957
A=5882 B=4146 C=6511 X=288868326 Y=7265238590 Z=27332551598 M=5619
A=8825 B=6936 C=6747 X=686494050 Y=4846510385 Z=34667800391 M=4248
A=2370 B=9978 C=5221 X=388271133 Y=7861087157 Z=67528291099 M=4410
A=4775 B=9699 C=6313 X=388022515 Y=2369028297 Z=15227798368 M=2583
A=3081 B=6172 C=5015 X=874879578 Y=7690316595 Z=30982869536 M=7320
A=2695 B=5666 C=8946 X=267651030 Y=5011982586 Z=25431833914 M=1879
A=6909 B=5109 C=6574 X=801819568 Y=6222550586 Z=32355039393 M=1252
A=9072 B=6678 C=6905 X=821447064 Y=7103311617 Z=68884953894 M=2644
A=9980 B=5074 C=9232 X=679409595 Y=9969904858 Z=33707361745 M=9680
A=2375 B=6312 C=7586 X=534165378 Y=2514677210 Z=29243875798 M=5202
A=9356 B=3971 C=9648 X=626378401 Y=4567650697 Z=71849242093 M=5932
A=4103 B=8834 C=8533 X=247495014 Y=7358033632 Z=54445592423 M=8296
A=6020 B=6001 C=6156 X=819866362 Y=7256649279 Z=61896109988 M=7771
A=2870 B=9248 C=6279 X=565344185 Y=4106082210 Z=95836746292 M=5745
A=8423 B=5831 C=9899 X=449218323 Y=6596545603 Z=54394500384 M=6938
A=6709 B=9156 C=6473 X=632768122 Y=6381266733 Z=48986277945 M=7231
A=9748 B=8165 C=5802 X=611399619 Y=3578097672 Z=19167724846 M=6070
A=4190 B=9763 C=6636 X=165203705 Y=4434225893 Z=18346707764 M=7350
A=3109 B=5793 C=8540 X=636013823 Y=6839575424 Z=38671581925 M=8467
A=8967 B=5004 C=7491 X=899118900 Y=2547595530 Z=85310168927 M=6442
A=8820 B=4250 C=6241 X=894219602 Y=9165315673 Z=36260456511 M=1709
A=3564 B=5686 C=7465 X=725051342 Y=4716070441 Z=50416233638 M=1718
A=6451 B=7746 C=5503 X=567409162 Y=2946624948 Z=14199753991 M=7311
A=2042 B=9571 C=9052 X=262202846 Y=4147909167 Z=10247559816 M=2896
A=5213 B=6985 C=5978 X=509143497 Y=3144226959 Z=86898546331 M=2479
A=8788 B=8685 C=9402 X=381166702 Y=5476022435 Z=49880705265 M=1030
A=8474 B=5976 C=8399 X=781834691 Y=3760047026 Z=19459871077 M=3921
A=4605 B=4038 C=5763 X=729765866 Y=9396448569 Z=35927269045 M=2402
A=2269 B=6601 C=5732 X=623441046 Y=9405383705 Z=92080782156 M=8417
A=3975 B=9849 C=7982 X=867073587 Y=4285044102 Z=95230338101 M=3602
A=6298 B=5696 C=9899 X=657096209 Y=5085682210 Z=84153878693 M=2313
A=3711 B=8416 C=8064 X=105845207 Y=6589771796 Z=51006270143 M=2352
A=3727 B=6166 C=7054 X=224585126 Y=8011234202 Z=67524494406 M=5982
A=4748 B=4064 C=8985 X=316397935 Y=3586572296 Z=28771538989 M=5677
A=6109 B=4377 C=5018 X=829021109 Y=7972054779 Z=50648634238 M=3352
A=8388 B=9351 C=5230 X=249846505 Y=2318663870 Z=14658751535 M=7376
A=7921 B=9851 C=8187 X=151440950 Y=4446450159 Z=87884349708 M=2559
A=2604 B=8237 C=9074 X=312039561 Y=9275248718 Z=25706674812 M=5627
A=6969 B=3409 C=5677 X=943718281 Y=2602653127 Z=82240097417 M=9122
A=7494 B=9726 C=9466 X=160629801 Y=2181038002 Z=29124664209 M=5138
A=2594 B=7167 C=5622 X=806127529 Y=3429482101 Z=27327392365 M=7958
A=7355 B=6378 C=5579 X=764727830 Y=9000453365 Z=78406902296 M=8328
A=8287 B=4566 C=5009 X=708549856 Y=9832165642 Z=55305549551 M=3532
A=7258 B=9125 C=8592 X=400115885 Y=9408402516 Z=78994095333 M=8912
A=9200 B=6385 C=6488 X=874844067 Y=6759648820 Z=72879937685 M=4188
A=3911 B=5671 C=8410 X=942111312 Y=6050590621 Z=53289573255 M=6697
A=6034 B=5505 C=5821 X=225715668 Y=5137394778 Z=75340960970 M=7091
A=4054 B=8246 C=9438 X=351845357 Y=1362117369 Z=98379707476 M=7235
A=5879 B=8054 C=6709 X=914085422 Y=1327740811 Z=16991610205 M=6367
A=5288 B=3573 C=9086 X=795522721 Y=8401734551 Z=74343071151 M=3871
A=3512 B=7541 C=6364 X=970799766 Y=3290640990 Z=78794194032 M=1272
A=4231 B=4340 C=9044 X=344098397 Y=6795123245 Z=10716236970 M=1640
A=4570 B=8484 C=5795 X=787668298 Y=9574910073 Z=25521169792 M=2637
A=6845 B=6876 C=6978 X=417513606 Y=8761430714 Z=78216245243 M=6883
A=3215 B=8839 C=7674 X=420391422 Y=7114319581 Z=19309307675 M=3425
A=4101 B=8812 C=7601 X=577380632 Y=2734534173 Z=33127741951 M=7182
A=2889 B=4075 C=5956 X=735137867 Y=9210513280 Z=62075520140 M=6358
A=8873 B=7102 C=9149 X=245977954 Y=2413683411 Z=18681283986 M=1307
A=4237 B=3251 C=6808 X=901471106 Y=4139160037 Z=40548556091 M=5111
A=9874 B=4353 C=8757 X=984035964 Y=9034709072 Z=24537749589 M=1066
A=7714 B=7037 C=8128 X=465467009 Y=5090545637 Z=26247474012 M=7222
A=3744 B=7100 C=8014 X=488970062 Y=1315661425 Z=71216749582 M=5494
A=3148 B=4572 C=8286 X=278488145 Y=8405176153 Z=75857331748 M=7395
A=3314 B=8642 C=7921 X=120256989 Y=6267348867 Z=76614508890 M=7869
A=3209 B=7623 C=6826 X=235487229 Y=4519131236 Z=86531293928 M=1211
A=7853 B=8345 C=6465 X=308983295 Y=1862382857 Z=74221964885 M=5243
A=6940 B=4255 C=5583 X=377116132 Y=3646531566 Z=92918277565 M=3289
A=9233 B=6589 C=8910 X=746560140 Y=8491407300 Z=47451935450 M=5685
A=9614 B=9279 C=5770 X=108420080 Y=7874205665 Z=11312068910 M=5806
A=6783 B=3349 C=9584 X=992696169 Y=9901608069 Z=23300165657 M=6122
A=4125 B=6193 C=7679 X=212087297 Y=6488998064 Z=39018674264 M=5383
A=9202 B=3954 C=9015 X=146333729 Y=5893734383 Z=90004528657 M=8418
A=8127 B=9728 C=9887 X=918903919 Y=2274842668 Z=56948030099 M=8232
A=6427 B=7574 C=8715 X=876298655 Y=3848297576 Z=62526649045 M=7800
A=5522 B=3621 C=9600 X=528273604 Y=2843933952 Z=67416220258 M=4147
A=9004 B=9226 C=5132 X=513368597 Y=8683669131 Z=41464706402 M=4373
A=6686 B=4110 C=8604 X=711840819 Y=9507101469 Z=39048332278 M=2772
A=6355 B=4254 C=7724 X=391956491 Y=8444407771 Z=93708596519 M=1881
A=6564 B=3786 C=8192 X=456981773 Y=8202566840 Z=15687415370 M=5478
A=5914 B=4891 C=7535 X=783917164 Y=3040740481 Z=68171185688 M=8741
A=2821 B=6552 C=9393 X=759112631 Y=7567260738 Z=45097279528 M=7792
A=5641 B=8539 C=5542 X=463398749 Y=6246790424 Z=49734152952 M=9888
A=6391 B=6977 C=8779 X=913543318 Y=9127335030 Z=93960244704 M=3668
A=3075 B=3246 C=6009 X=914050623 Y=2495987447 Z=59425912749 M=4231
A=5949 B=3592 C=8721 X=184199737 Y=9949592416 Z=31513592458 M=6612
A=8066 B=5756 C=8857 X=525094871 Y=4168018634 Z=43958327106 M=3603
A=7047 B=3468 C=8286 X=549477598 Y=1537058008 Z=78906514732 M=4159
A=3761 B=9804 C=9105 X=210347331 Y=6196970216 Z=41088309804 M=4609
A=4449 B=9073 C=9050 X=413165626 Y=5715670639 Z=63660230837 M=8410
A=2956 B=5627 C=7241 X=123846026 Y=2803586566 Z=42911336695 M=3077
A=2763 B=5026 C=9305 X=980240934 Y=6736911719 Z=83708848068 M=3614
A=7602 B=3757 C=7909 X=892153101 Y=2363024893 Z=15698442526 M=2541
A=6928 B=4290 C=9543 X=816173261 Y=8743542594 Z=37260650304 M=6091
A=5202 B=6118 C=7675 X=523195238 Y=3390977343 Z=49577390318 M=7665
A=7699 B=8493 C=7070 X=890199536 Y=2080449821 Z=28508271467 M=3450
A=2993 B=6164 C=9805 X=672787994 Y=7804460407 Z=35455759077 M=1220
A=6669 B=5841 C=7413 X=710175030 Y=8399327198 Z=87120660512 M=4230
A=8766 B=6833 C=9856 X=284137898 Y=8906462762 Z=99184179882 M=8045
A=2836 B=4068 C=9880 X=371830480 Y=1576235815 Z=49289142346 M=6952
A=4084 B=4944 C=8186 X=204628069 Y=1216490132 Z=20340220479 M=8968
A=3041 B=4868 C=9909 X=512084415 Y=5701652090 Z=63190568721 M=3889
A=2083 B=3042 C=7596 X=361346117 Y=7400591804 Z=72949584773 M=2100
A=5382 B=7268 C=8076 X=994179837 Y=1994705309 Z=69535930082 M=1742
A=2752 B=9132 C=7636 X=131939256 Y=1430365307 Z=89094758531 M=4956
A=5941 B=4939 C=9321 X=161076048 Y=7924860381 Z=98180586219 M=6099
A=2335 B=4650 C=7618 X=221666897 Y=5935917473 Z=33051532323 M=1981
A=7592 B=4814 C=6173 X=441420502 Y=9622043376 Z=96904296671 M=4676
A=2379 B=3799 C=6580 X=257086150 Y=1741484927 Z=30253105191 M=8995
A=5630 B=3266 C=5670 X=846938178 Y=5045746668 Z=84786421514 M=6604
A=5301 B=4206 C=5439 X=257344913 Y=8902807924 Z=15377237356 M=6600
A=6656 B=8029 C=5897 X=352425703 Y=2041694484 Z=74461768017 M=5027
A=9885 B=4775 C=9570 X=846995532 Y=7544021105 Z=90805545320 M=6299
A=8291 B=9990 C=8289 X=547119059 Y=1491128842 Z=72156833573 M=7732
A=5669 B=5041 C=8312 X=310842600 Y=5946297424 Z=70531033302 M=6214
A=4825 B=8103 C=8623 X=790241399 Y=4644927354 Z=70557099095 M=9549
A=8570 B=3640 C=6516 X=975154514 Y=9856409028 Z=32289630832 M=3598
A=6060 B=7619 C=7915 X=856753160 Y=8603694868 Z=21298594127 M=1377
A=5355 B=9335 C=7726 X=183697917 Y=2992896267 Z=15540115482 M=8788
A=6870 B=4572 C=6386 X=114724887 Y=8198647858 Z=38428037228 M=6893
